Title,Company,Location,Is Remote?,Job Type,Date Posted,Direct URL,Min Amount,Max Amount
"Sr. Software Development Engineer - Orchestration Platform, Temporal, Fleet Management (Flexibility on level)",Zscaler,"San Jose, CA, US",False,fulltime,2026-05-29,https://job-boards.greenhouse.io/zscaler/jobs/5113115007,112000.0,160000.0
Sr. Engineer - Data Security,Wynn Resorts,"Las Vegas, NV, US",False,fulltime,2026-05-29,https://jobs.smartrecruiters.com/WynnResorts/744000129033807-sr-engineer-data-security,,
Enterprise Applications Developer,Uber,"Sunnyvale, CA, US",False,fulltime,2026-05-29,https://tnl2.jometer.com/v2/job?jz=5wqzsae7c9861e2b380a0372d216fb9711817KMAAKAAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=Indeed%20Organic,133000.0,140000.0
Enterprise Applications Developer,Uber,"San Francisco, CA, US",False,fulltime,2026-05-29,https://tnl2.jometer.com/v2/job?jz=5wqzs58563d7a5e1e8885cf4f3abf8ac58b1eKMAAKAAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=Indeed%20Organic,133000.0,140000.0
"Senior Full Stack Engineer, Games Web Platform Team",The New York Times,"New York, NY, US",False,,2026-05-29,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4698867005,140000.0,160000.0
Java Python & BOT,Tata Consultancy Services (TCS),"Phoenix, AZ, US",False,,2026-05-29,https://ibegin.tcsapps.com/candidate/jobs/shared-job/NDE0NzA2Sg==,80000.0,100000.0
Java Full stack Developer,Tata Consultancy Services (TCS),"Phoenix, AZ, US",False,,2026-05-29,https://ibegin.tcsapps.com/candidate/jobs/shared-job/NDE0NzA0Sg==,110000.0,130000.0
Data Engineer,Sky Global Solutions,"Remote, US",True,fulltime,2026-05-29,http://www.indeed.com/job/data-engineer-216760c6e932824d,22000.0,25000.0
Software Engineer - Full Stack / Java [see locations],Regions Financial,"Charlotte, NC, US",False,fulltime,2026-05-29,https://careers.regions.com/us/en/job/RFCOUSR102892ENUSEXTERNAL/Software-Engineer-Full-Stack-Java-see-locations?utm_source=indeed&utm_medium=phenom-feeds,127767.0,168210.0
"Senior Engineer 2, Inventory Visibility",Nordstrom,"Seattle, WA, US",False,,2026-05-29,https://careers.nordstrom.com/senior-engineer-2-inventory-visibility/job/6A8FB437E925E422C1CE44BC12BE65DB,166000.0,258000.0
Sr. Full Stack Java Developer (100% Onsite / FTE / Coderpad),NTT DATA,"Jersey City, NJ, US",False,fulltime,2026-05-29,https://www1.jobdiva.com/candidates/myjobs/openjob_outside.jsp?a=vtjdnw5v1z1v2psgylbu76nbkkhb0y080epfxtsjq71b065808wxj6cim4ud5upr&SearchString=&StatesString=&source=indeed.com&id=32374911&compid=-1,,
Senior Data Engineer,MTSI,"Alexandria, VA, US",False,,2026-05-29,https://talent.mtsi-va.com/careers/job/1133913481021?domain=mtsi-va.com,,
Senior Full Stack Developer,"Integration Resolve, Inc.","Remote, US",True,fulltime,2026-05-29,http://www.indeed.com/job/senior-full-stack-developer-66a24f562008028e,120000.0,175000.0
Customer Solutions Engineer,ITRS,"New York, NY, US",False,fulltime,2026-05-29,https://apply.workable.com/j/6E6338E5F4,160000.0,180000.0
Senior Software Engineer (Full-Stack),Guidewire,"Bedford, MA, US",True,fulltime,2026-05-29,https://www.guidewire.com/about/careers/jobs/senior-software-engineer--full-stack--jr_14832/,148000.0,247000.0
Angular UI Developer,Great value staffing and technologies.inc,"Rancho Cucamonga, CA, US",False,contract,2026-05-29,http://www.indeed.com/job/angular-ui-developer-d8bf23ac2f8a2cf8,,
Senior Software Engineer,Gong,"New York, NY, US",True,,2026-05-29,https://job-boards.greenhouse.io/gongio/jobs/4680869006,168000.0,205000.0
Senior Software Engineer,Gong,"New York, NY, US",True,,2026-05-29,https://job-boards.greenhouse.io/gongio/jobs/4680871006,186000.0,240000.0
Senior Software Engineer II of Trading,Forge Global,"San Francisco, CA, US",False,,2026-05-29,https://job-boards.greenhouse.io/forgeglobal/jobs/6008398004,174000.0,210000.0
Senior Software Engineer II of Trading,Forge Global,"New York, NY, US",False,,2026-05-29,https://job-boards.greenhouse.io/forgeglobal/jobs/6008397004,174000.0,210000.0
Sr. Full Stack Engineer,Fidelity TalentSource,"Westlake, TX, US",False,fulltime,2026-05-29,https://www.fidelitytalentsource.com/job-search/181210/sr-full-stack-engineer/?job-id=181210&source=Indeed,,
Software Engineer,Everbridge,US,False,fulltime,2026-05-29,https://jobs.lever.co/everbridge/20f04a0b-eb61-4546-98f3-d48bab046b08,132900.0,177200.0
Software Engineer,Everbridge,"Remote, US",True,fulltime,2026-05-29,https://jobs.lever.co/everbridge/20f04a0b-eb61-4546-98f3-d48bab046b08?lever-source=Indeed,132900.0,177200.0
Sr. Software Engineer - Cloud (Hybrid),CrowdStrike,"Sunnyvale, CA, US",False,fulltime,2026-05-29,https://crowdstrike.wd5.myworkdayjobs.com/en-US/crowdstrikecareers/job/USA---Sunnyvale-CA/Sr-Software-Engineer---Cloud--Hybrid-_R28503,140000.0,215000.0
Receptionist - Spring Creek by Bonaventure,Bonaventure Senior Living,"Bellingham, WA, US",False,,2026-05-29,https://BonaventureSeniorLiving.recruiterbox.com/jobs/fk0zp71?fjb_hash=ezLpq610,19.0,20.0
Maintenance Technician - Spring Creek by Bonaventure,Bonaventure Senior Living,"Bellingham, WA, US",False,,2026-05-29,https://BonaventureSeniorLiving.recruiterbox.com/jobs/fk0zp7f?fjb_hash=ezLpq610,22.0,24.0
Housekeeper - Spring Creek by Bonaventure,Bonaventure Senior Living,"Bellingham, WA, US",False,,2026-05-29,https://BonaventureSeniorLiving.recruiterbox.com/jobs/fk0zp7j?fjb_hash=ezLpq610,19.0,20.0
Full Stack Java Developers (CONTRACT ROLE),"Attadale Partners, LLC","OR, US",True,contract,2026-05-29,https://apply.workable.com/j/F99D870CB5,,
Software Engineer,Applied Materials,"Santa Clara, CA, US",False,fulltime,2026-05-29,https://careers.appliedmaterials.com/careers/job/790315987518,179500.0,246500.0
Automation Systems Engineer - (E3),Applied Materials,"Austin, TX, US",False,fulltime,2026-05-29,https://careers.appliedmaterials.com/careers/job/790313694504,120000.0,165000.0
Senior Java Developer,,"Remote, US",True,contract,2026-05-29,http://www.indeed.com/job/senior-java-developer-425c065fc2b34403,50000.0,60000.0
Fullstack Product Engineer,turing,"New York, NY, US",False,,2026-05-28,https://careers.turing.com/job/6007382004,180000.0,220000.0
Software Developer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/systemanalyst.php,,
Software Developer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/soft.php,,
Software Developer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/soft_d.php,,
Full Stack Developer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/fsdev.php,,
Data Engineer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/data_e1.php,,
Data Engineer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/de.php,,
Cloud DevOps Developer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/cloud_d.php,,
Big Data Engineer,ritepros,"Portland, ME, US",False,,2026-05-28,https://ritepros.com/bde.php,,
Property Administrator – The Spring District,Wright Runstad Associates Limited Partnership,"Bellevue, WA, US",False,fulltime,2026-05-28,https://wrightrunstad.com/wp-content/uploads/2026/05/Eastside_Prop-Admin-Job-Desc_05_27_26.pdf,71000.0,76000.0
HVAC Service Technician - Apprentice Spring 2026,Willis Mechanical,"Norcross, GA, US",False,fulltime,2026-05-28,https://willismech.bamboohr.com/careers/105?source=indeed&src=indeed&postedDate=2026-05-28,,
Senior Java Software Engineer,Wells Fargo,"Charlotte, NC, US",False,fulltime,2026-05-28,https://wd1.myworkdaysite.com/recruiting/wf/WellsFargoJobs/job/CHARLOTTE-NC/Senior-Java-Software-Engineer_R-533651,119000.0,224000.0
Software Engineer - Marketplace Experimentation Platform,Waymo,"Mountain View, CA, US",True,fulltime,2026-05-28,https://careers.withwaymo.com/jobs/software-engineer-marketplace-experimentation-platform-mountain-view-california-united-states-san-francisco,175000.0,215000.0
Software Engineer,Visa,"Austin, TX, US",False,fulltime,2026-05-28,https://visa.wd5.myworkdayjobs.com/Visa/job/US---Austin-TX/Software-Engineer_REF081674W-1,88000.0,136900.0
Site Reliability Engineer- Product Reliability Engineering,Visa,"Austin, TX, US",False,fulltime,2026-05-28,https://visa.wd5.myworkdayjobs.com/Visa/job/US---Austin-TX/Sr-Site-Reliability-Engineer--Product-Reliability-Engineering_REF082311W-1,110700.0,171800.0
Senior Software Engineer - AI Agents,Visa,"Foster City, CA, US",False,fulltime,2026-05-28,https://visa.wd5.myworkdayjobs.com/Visa/job/US---Foster-City-CA/Senior-Software-Engineer---AI-Agents_REF082452W-1,123000.0,190900.0
DevOps Engineer,Verisk,"Holmdel, NJ, US",True,fulltime,2026-05-28,https://fa-ewmy-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/3885,,
Kafka Qlik Developer,UST,"Atlanta, GA, US",False,,2026-05-28,https://usource.ripplehire.com/candidate/?token=xHQWoFn4C242POo7xMpH&source=CAREERSITE#detail/job/59278,70000.0,105000.0
Data Engineer- Marketing Strategy,UPS,"Atlanta, GA, US",False,fulltime,2026-05-28,https://www.jobs-ups.com/us/en/job/UPBUPSGLOBALR26014156EXTERNALENUS/Data-Engineer-Marketing-Strategy?utm_source=indeed&utm_medium=phenom-feeds,,
Software Engineer,U.S. Bank,"Cupertino, CA, US",False,fulltime,2026-05-28,https://careers.usbank.com/global/en/job/UBNAGLOBAL20260013385EXTERNALENGLOBAL/Software-Engineer?utm_source=indeed&utm_medium=phenom-feeds,117725.0,138500.0
Senior Software Engineer,Trevity LLC,"St. Louis, MO, US",True,fulltime,2026-05-28,https://trevity.jobs.agile-ats.com/jobs/details/135,,
Principal Software Engineer,Trevity LLC,"St. Louis, MO, US",True,fulltime,2026-05-28,https://trevity.jobs.agile-ats.com/jobs/details/113,,
