title,company,location,is_remote,job_type,date_posted,job_url_direct,site,job_url,min_amount,max_amount,interval,currency
Data Engineer,Zoetis,"Parsippany-Troy Hills, NJ, US",False,fulltime,2026-05-27,https://zoetis.wd5.myworkdayjobs.com/en-US/zoetis/job/Parsippany/Data-Engineer_JR00020850,indeed,https://www.indeed.com/viewjob?jk=87f70fa8d4be0571,105000.0,151000.0,yearly,USD
Lead Infrastructure Security Engineer Data at Rest Encryption,Wells Fargo,"McLean, VA, US",False,,2026-05-27,https://tnl2.jometer.com/v2/job?jz=581jn195175a880afc6182144de0413c4585fCMAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic,indeed,https://www.indeed.com/viewjob?jk=167e6c50126797b3,119000.0,224000.0,yearly,USD
Lead Infrastructure Security Engineer Data at Rest Encryption,Wells Fargo,"Irving, TX, US",False,,2026-05-27,https://tnl2.jometer.com/v2/job?jz=581jndb1a74507d457e6fcdcead76ede50dddCMAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic,indeed,https://www.indeed.com/viewjob?jk=4d588a2dae3895b4,119000.0,224000.0,yearly,USD
Systems Engineer (SE1/SE2/SE3) – Data Science & Complex Systems,WILLCOR Inc,"Annapolis Junction, MD, US",False,,2026-05-27,https://willcor.catsone.com/careers/57887-General/jobs/16699888-Systems-Engineer-SE1SE2SE3--Data-Science--Complex-Systems/?ref=Indeed,indeed,https://www.indeed.com/viewjob?jk=13afcefbe52c1dcb,,,,
Data Engineer,WILLCOR Inc,"Suitland, MD, US",False,,2026-05-27,https://willcor.catsone.com/careers/57887-General/jobs/15419664-Data-Engineer/?ref=Indeed,indeed,https://www.indeed.com/viewjob?jk=33c6591b32e58410,,,,
Sr. Data Engineer - Growth and Marketing Platform,Uber,"Sunnyvale, CA, US",True,fulltime,2026-05-27,https://tnl2.jometer.com/v2/job?jz=5wqzs56850271d82097c0b79152b3e058b144KMAAKAAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=Indeed%20Organic,indeed,https://www.indeed.com/viewjob?jk=8595b160bf2b2fc6,202000.0,224000.0,yearly,USD
Sr. Data Engineer - Growth and Marketing Platform,Uber,"San Francisco, CA, US",True,fulltime,2026-05-27,https://tnl2.jometer.com/v2/job?jz=5wqzs6b832ade819c0d4173a601f9c9874541KMAAKAAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=Indeed%20Organic,indeed,https://www.indeed.com/viewjob?jk=e839ded993fb7d39,202000.0,224000.0,yearly,USD
Senior Data Science Engineer I,Takeda Pharmaceuticals,"Lexington, MA, US",False,fulltime,2026-05-27,https://www.takedajobs.com/job/-/-/1113/95615707488,indeed,https://www.indeed.com/viewjob?jk=fc971f0453ed827e,89900.0,141240.0,yearly,USD
"Software Engineer, I - Data Engineering",TORC Robotics,"Ann Arbor, MI, US",True,fulltime,2026-05-27,https://job-boards.greenhouse.io/torcrobotics/jobs/8560188002,indeed,https://www.indeed.com/viewjob?jk=e2976c8aa5f80420,114400.0,137300.0,yearly,USD
Data Engineer - MCP - Model Context Protocol - W2 Position -100% Remote,Syncreon Consulting,"San Antonio, TX, US",True,contract,2026-05-27,https://jobs.smartrecruiters.com/SyncreonConsulting/744000128758053-data-engineer-mcp-model-context-protocol-w2-position-100-remote,indeed,https://www.indeed.com/viewjob?jk=f92c7d0f28e4b6e7,,,,
