Title,Company,Location,Is Remote?,Job Type,Date Posted,Direct URL,Min Amount,Max Amount
Developer-Java/J2EE Specialist,Technology Ventures,"McLean, VA, US",False,contract,2026-05-27,https://tventures.net/wp-content/plugins/bullhorn-oscp/#/jobs/14450,,
Java Developer Jr,"Technology Consultants, Inc.","Ashburn, VA, US",False,fulltime,2026-05-27,https://technology-consultants-inc.careerplug.com/j/02zvqrn,80000.0,110000.0
"Lead Java Engineer, Full Stack Development",Raymond James,"Saint Petersburg, FL, US",False,fulltime,2026-05-27,https://raymondjames.wd1.myworkdayjobs.com/en-US/RaymondJamesCareers/job/Saint-Petersburg-Florida---United-States/Lead-Java-Engineer--Full-Stack-Development_R-0011336,,
Full Stack Developer-Java/Guidewire,Kemper,"Birmingham, AL, US",False,fulltime,2026-05-27,https://kemper.wd5.myworkdayjobs.com/Kemper_Careers/job/Jacksonville-Florida/Full-Stack-Developer-Java-Guidewire_R-26-0035772,,
Senior Software Developer,Apptium Technologies,"Reston, VA, US",False,fulltime,2026-05-27,http://www.indeed.com/job/senior-software-developer-772a7ad560473fcb,140000.0,160000.0
"Senior Full Stack Software Engineer - Catalogs, Hierarchy & OrgMDM (Hybrid - Seattle, WA)",Nordstrom,"Seattle, WA, US",False,,2026-05-26,https://careers.nordstrom.com/senior-full-stack-software-engineer-catalogs-hierarchy-orgmdm-hybrid-seattle-wa/job/1E621E383FD5979BEFEBC992E1A2ED20,142000.0,220500.0
Front End/Angular 2+/Full Stack Java Developer,General Dynamics Information Technology,"Hanover, MD, US",False,,2026-05-26,https://www.gdit.com/careers/job/723053fd9/front-endangular-2full-stack-java-developer/,111155.0,150385.0
Sr. Java Developer,Cognizant,"Chicago, IL, US",False,fulltime,2026-05-26,https://careers.cognizant.com/global-en/jobs/00069051251/sr-java-developer/,90000.0,117000.0
Sr Engineer-Application Engg Services,Birlasoft,"NJ, US",False,,2026-05-26,https://jobs.birlasoft.com/job/Sr-Engineer-Application-Engg-Services-US/56357144/,,
Sr Engineer-Application Engg Services,Birlasoft,"NJ, US",False,,2026-05-26,https://jobs.birlasoft.com/job/Sr-Engineer-Application-Engg-Services-US/56357244/,,
Software Engineer Stf - Level 4 (Top Secret),Lockheed Martin,"King of Prussia, PA, US",True,fulltime,2026-05-25,https://www.lockheedmartinjobs.com/job/king-of-prussia/software-engineer-stf-level-4-top-secret/694/95594170512,,
Software Engineer Sr - Level 3 (Top Secret),Lockheed Martin,"King of Prussia, PA, US",True,fulltime,2026-05-25,https://www.lockheedmartinjobs.com/job/king-of-prussia/software-engineer-sr-level-3-top-secret/694/95594170416,,
Software Engineer - Level 2 (Top Secret),Lockheed Martin,"King of Prussia, PA, US",True,fulltime,2026-05-25,https://www.lockheedmartinjobs.com/job/king-of-prussia/software-engineer-level-2-top-secret/694/95594170320,,
